filename,bag,source_frame_index,relative_time_seconds,bag_timestamp_ns,width,height
rosbag2_2026_07_23-14_38_52__s0023__f000095__t005773ms.jpg,rosbag2_2026_07_23-14_38_52,95,5.773,1784785138305725216,210,311
rosbag2_2026_07_23-14_38_52__s0024__f000098__t005970ms.jpg,rosbag2_2026_07_23-14_38_52,98,5.970,1784785138502896100,210,311
rosbag2_2026_07_23-14_38_52__s0025__f000102__t006237ms.jpg,rosbag2_2026_07_23-14_38_52,102,6.237,1784785138769854908,210,311
rosbag2_2026_07_23-14_38_52__s0026__f000106__t006498ms.jpg,rosbag2_2026_07_23-14_38_52,106,6.498,1784785139030587713,210,311
rosbag2_2026_07_23-14_38_52__s0027__f000110__t006773ms.jpg,rosbag2_2026_07_23-14_38_52,110,6.773,1784785139305679659,210,311
rosbag2_2026_07_23-14_38_52__s0028__f000117__t007005ms.jpg,rosbag2_2026_07_23-14_38_52,117,7.005,1784785139537821372,210,311
rosbag2_2026_07_23-14_38_52__s0029__f000122__t007237ms.jpg,rosbag2_2026_07_23-14_38_52,122,7.237,1784785139769822440,210,311
rosbag2_2026_07_23-14_38_52__s0030__f000126__t007473ms.jpg,rosbag2_2026_07_23-14_38_52,126,7.473,1784785140005581409,210,311
rosbag2_2026_07_23-14_38_52__s0031__f000130__t007738ms.jpg,rosbag2_2026_07_23-14_38_52,130,7.738,1784785140270060091,210,311
rosbag2_2026_07_23-14_38_52__s0032__f000134__t008005ms.jpg,rosbag2_2026_07_23-14_38_52,134,8.005,1784785140537927695,210,311
rosbag2_2026_07_23-14_38_52__s0033__f000138__t008273ms.jpg,rosbag2_2026_07_23-14_38_52,138,8.273,1784785140805478885,210,311
rosbag2_2026_07_23-14_38_52__s0034__f000141__t008473ms.jpg,rosbag2_2026_07_23-14_38_52,141,8.473,1784785141005882812,210,311
rosbag2_2026_07_23-14_38_52__s0035__f000145__t008734ms.jpg,rosbag2_2026_07_23-14_38_52,145,8.734,1784785141266951953,210,311
rosbag2_2026_07_23-14_38_52__s0036__f000149__t009005ms.jpg,rosbag2_2026_07_23-14_38_52,149,9.005,1784785141537188331,210,311
rosbag2_2026_07_23-14_38_52__s0037__f000153__t009272ms.jpg,rosbag2_2026_07_23-14_38_52,153,9.272,1784785141804769733,210,311
rosbag2_2026_07_23-14_38_52__s0038__f000156__t009468ms.jpg,rosbag2_2026_07_23-14_38_52,156,9.468,1784785142000813599,210,311
rosbag2_2026_07_23-14_38_52__s0039__f000160__t009734ms.jpg,rosbag2_2026_07_23-14_38_52,160,9.734,1784785142266682064,210,311
rosbag2_2026_07_23-14_38_52__s0040__f000164__t010005ms.jpg,rosbag2_2026_07_23-14_38_52,164,10.005,1784785142537510961,210,311
rosbag2_2026_07_23-14_38_52__s0041__f000170__t010236ms.jpg,rosbag2_2026_07_23-14_38_52,170,10.236,1784785142768921228,210,311
rosbag2_2026_07_23-14_38_52__s0042__f000177__t010473ms.jpg,rosbag2_2026_07_23-14_38_52,177,10.473,1784785143005559214,210,311
rosbag2_2026_07_23-14_38_52__s0043__f000182__t010773ms.jpg,rosbag2_2026_07_23-14_38_52,182,10.773,1784785143305612779,210,311
rosbag2_2026_07_23-14_38_52__s0044__f000185__t010973ms.jpg,rosbag2_2026_07_23-14_38_52,185,10.973,1784785143505589661,210,311
rosbag2_2026_07_23-14_38_52__s0045__f000189__t011237ms.jpg,rosbag2_2026_07_23-14_38_52,189,11.237,1784785143769654852,210,311
rosbag2_2026_07_23-14_38_52__s0046__f000193__t011505ms.jpg,rosbag2_2026_07_23-14_38_52,193,11.505,1784785144037551600,210,311
rosbag2_2026_07_23-14_38_52__s0047__f000197__t011773ms.jpg,rosbag2_2026_07_23-14_38_52,197,11.773,1784785144305484716,210,311
rosbag2_2026_07_23-14_38_52__s0048__f000200__t011973ms.jpg,rosbag2_2026_07_23-14_38_52,200,11.973,1784785144505385510,210,311
rosbag2_2026_07_23-14_38_52__s0049__f000204__t012237ms.jpg,rosbag2_2026_07_23-14_38_52,204,12.237,1784785144769570689,210,311
rosbag2_2026_07_23-14_38_52__s0050__f000208__t012504ms.jpg,rosbag2_2026_07_23-14_38_52,208,12.504,1784785145036822665,210,311
rosbag2_2026_07_23-14_38_52__s0051__f000212__t012773ms.jpg,rosbag2_2026_07_23-14_38_52,212,12.773,1784785145305585805,210,311
rosbag2_2026_07_23-14_38_52__s0052__f000215__t012969ms.jpg,rosbag2_2026_07_23-14_38_52,215,12.969,1784785145501568196,210,311
rosbag2_2026_07_23-14_38_52__s0053__f000219__t013237ms.jpg,rosbag2_2026_07_23-14_38_52,219,13.237,1784785145769608686,210,311
rosbag2_2026_07_23-14_38_52__s0054__f000223__t013502ms.jpg,rosbag2_2026_07_23-14_38_52,223,13.502,1784785146034850159,210,311
rosbag2_2026_07_23-14_38_52__s0055__f000228__t013734ms.jpg,rosbag2_2026_07_23-14_38_52,228,13.734,1784785146266232408,210,311
rosbag2_2026_07_23-14_38_52__s0056__f000232__t013974ms.jpg,rosbag2_2026_07_23-14_38_52,232,13.974,1784785146506687591,210,311
rosbag2_2026_07_23-14_38_52__s0057__f000236__t014237ms.jpg,rosbag2_2026_07_23-14_38_52,236,14.237,1784785146769517449,210,311
rosbag2_2026_07_23-14_38_52__s0058__f000240__t014504ms.jpg,rosbag2_2026_07_23-14_38_52,240,14.504,1784785147036461906,210,311
rosbag2_2026_07_23-14_38_52__s0059__f000244__t014773ms.jpg,rosbag2_2026_07_23-14_38_52,244,14.773,1784785147305598088,210,311
rosbag2_2026_07_23-14_38_52__s0060__f000247__t014973ms.jpg,rosbag2_2026_07_23-14_38_52,247,14.973,1784785147505713762,210,311
rosbag2_2026_07_23-14_38_52__s0061__f000251__t015237ms.jpg,rosbag2_2026_07_23-14_38_52,251,15.237,1784785147769737208,210,311
rosbag2_2026_07_23-14_38_52__s0062__f000255__t015505ms.jpg,rosbag2_2026_07_23-14_38_52,255,15.505,1784785148037430826,210,311
rosbag2_2026_07_23-14_38_52__s0063__f000259__t015773ms.jpg,rosbag2_2026_07_23-14_38_52,259,15.773,1784785148305527543,210,311
rosbag2_2026_07_23-14_38_52__s0064__f000262__t015974ms.jpg,rosbag2_2026_07_23-14_38_52,262,15.974,1784785148506071472,210,311
rosbag2_2026_07_23-14_38_52__s0065__f000266__t016234ms.jpg,rosbag2_2026_07_23-14_38_52,266,16.234,1784785148766049087,210,311
rosbag2_2026_07_23-14_38_52__s0066__f000270__t016506ms.jpg,rosbag2_2026_07_23-14_38_52,270,16.506,1784785149038040512,210,311
rosbag2_2026_07_23-14_38_52__s0067__f000274__t016768ms.jpg,rosbag2_2026_07_23-14_38_52,274,16.768,1784785149300055816,210,311
rosbag2_2026_07_23-14_38_52__s0068__f000279__t016973ms.jpg,rosbag2_2026_07_23-14_38_52,279,16.973,1784785149505130382,210,311
rosbag2_2026_07_23-14_38_52__s0069__f000284__t017237ms.jpg,rosbag2_2026_07_23-14_38_52,284,17.237,1784785149769798133,210,311
rosbag2_2026_07_23-14_38_52__s0070__f000288__t017505ms.jpg,rosbag2_2026_07_23-14_38_52,288,17.505,1784785150037476964,210,311
rosbag2_2026_07_23-14_38_52__s0071__f000292__t017773ms.jpg,rosbag2_2026_07_23-14_38_52,292,17.773,1784785150305583844,210,311
rosbag2_2026_07_23-14_38_52__s0072__f000295__t017973ms.jpg,rosbag2_2026_07_23-14_38_52,295,17.973,1784785150505583775,210,311
rosbag2_2026_07_23-14_38_52__s0073__f000299__t018238ms.jpg,rosbag2_2026_07_23-14_38_52,299,18.238,1784785150770052056,210,311
rosbag2_2026_07_23-14_38_52__s0074__f000303__t018504ms.jpg,rosbag2_2026_07_23-14_38_52,303,18.504,1784785151036431540,210,311
rosbag2_2026_07_23-14_38_52__s0075__f000307__t018773ms.jpg,rosbag2_2026_07_23-14_38_52,307,18.773,1784785151305581304,210,311
rosbag2_2026_07_23-14_38_52__s0076__f000310__t018973ms.jpg,rosbag2_2026_07_23-14_38_52,310,18.973,1784785151505548872,210,311
rosbag2_2026_07_23-14_38_52__s0077__f000314__t019237ms.jpg,rosbag2_2026_07_23-14_38_52,314,19.237,1784785151769845772,210,311
rosbag2_2026_07_23-14_38_52__s0078__f000318__t019504ms.jpg,rosbag2_2026_07_23-14_38_52,318,19.504,1784785152036040896,210,311
rosbag2_2026_07_23-14_38_52__s0079__f000322__t019773ms.jpg,rosbag2_2026_07_23-14_38_52,322,19.773,1784785152305537342,210,311
rosbag2_2026_07_23-14_38_52__s0080__f000326__t020003ms.jpg,rosbag2_2026_07_23-14_38_52,326,20.003,1784785152535786721,210,311
rosbag2_2026_07_23-14_38_52__s0081__f000333__t020237ms.jpg,rosbag2_2026_07_23-14_38_52,333,20.237,1784785152769502506,210,311
rosbag2_2026_07_23-14_38_52__s0082__f000339__t020473ms.jpg,rosbag2_2026_07_23-14_38_52,339,20.473,1784785153005578175,210,311
rosbag2_2026_07_23-14_38_52__s0083__f000343__t020737ms.jpg,rosbag2_2026_07_23-14_38_52,343,20.737,1784785153269472475,210,311
rosbag2_2026_07_23-14_38_52__s0084__f000347__t021005ms.jpg,rosbag2_2026_07_23-14_38_52,347,21.005,1784785153537601550,210,311
rosbag2_2026_07_23-14_38_52__s0085__f000351__t021272ms.jpg,rosbag2_2026_07_23-14_38_52,351,21.272,1784785153804410468,210,311
rosbag2_2026_07_23-14_38_52__s0086__f000354__t021473ms.jpg,rosbag2_2026_07_23-14_38_52,354,21.473,1784785154005051909,210,311
rosbag2_2026_07_23-14_38_52__s0087__f000358__t021736ms.jpg,rosbag2_2026_07_23-14_38_52,358,21.736,1784785154268889350,210,311
rosbag2_2026_07_23-14_38_52__s0088__f000362__t022006ms.jpg,rosbag2_2026_07_23-14_38_52,362,22.006,1784785154538443482,210,311
rosbag2_2026_07_23-14_38_52__s0089__f000366__t022273ms.jpg,rosbag2_2026_07_23-14_38_52,366,22.273,1784785154805767011,210,311
rosbag2_2026_07_23-14_38_52__s0090__f000369__t022473ms.jpg,rosbag2_2026_07_23-14_38_52,369,22.473,1784785155005111747,210,311
rosbag2_2026_07_23-14_38_52__s0091__f000373__t022735ms.jpg,rosbag2_2026_07_23-14_38_52,373,22.735,1784785155267859226,210,311
rosbag2_2026_07_23-14_38_52__s0092__f000377__t023004ms.jpg,rosbag2_2026_07_23-14_38_52,377,23.004,1784785155536000066,210,311
rosbag2_2026_07_23-14_38_52__s0093__f000381__t023269ms.jpg,rosbag2_2026_07_23-14_38_52,381,23.269,1784785155801781626,210,311
rosbag2_2026_07_23-14_38_52__s0094__f000386__t023504ms.jpg,rosbag2_2026_07_23-14_38_52,386,23.504,1784785156036903082,210,311
rosbag2_2026_07_23-14_38_52__s0095__f000391__t023732ms.jpg,rosbag2_2026_07_23-14_38_52,391,23.732,1784785156264059470,210,311
rosbag2_2026_07_23-14_38_52__s0096__f000395__t023973ms.jpg,rosbag2_2026_07_23-14_38_52,395,23.973,1784785156505503234,210,311
rosbag2_2026_07_23-14_38_52__s0097__f000399__t024237ms.jpg,rosbag2_2026_07_23-14_38_52,399,24.237,1784785156769894028,210,311
rosbag2_2026_07_23-14_38_52__s0098__f000403__t024505ms.jpg,rosbag2_2026_07_23-14_38_52,403,24.505,1784785157037529488,210,311
rosbag2_2026_07_23-14_38_52__s0099__f000407__t024773ms.jpg,rosbag2_2026_07_23-14_38_52,407,24.773,1784785157305325931,210,311
rosbag2_2026_07_23-14_38_52__s0100__f000410__t024973ms.jpg,rosbag2_2026_07_23-14_38_52,410,24.973,1784785157505526164,210,311
rosbag2_2026_07_23-14_38_52__s0101__f000414__t025237ms.jpg,rosbag2_2026_07_23-14_38_52,414,25.237,1784785157769529331,210,311
rosbag2_2026_07_23-14_38_52__s0102__f000418__t025504ms.jpg,rosbag2_2026_07_23-14_38_52,418,25.504,1784785158036298265,210,311
rosbag2_2026_07_23-14_38_52__s0103__f000422__t025773ms.jpg,rosbag2_2026_07_23-14_38_52,422,25.773,1784785158305855766,210,311
rosbag2_2026_07_23-14_38_52__s0104__f000425__t025970ms.jpg,rosbag2_2026_07_23-14_38_52,425,25.970,1784785158502654511,210,311
rosbag2_2026_07_23-14_38_52__s0105__f000429__t026237ms.jpg,rosbag2_2026_07_23-14_38_52,429,26.237,1784785158769393425,210,311
rosbag2_2026_07_23-14_38_52__s0106__f000433__t026503ms.jpg,rosbag2_2026_07_23-14_38_52,433,26.503,1784785159035559038,210,311
rosbag2_2026_07_23-14_38_52__s0107__f000439__t026737ms.jpg,rosbag2_2026_07_23-14_38_52,439,26.737,1784785159269550181,210,311
rosbag2_2026_07_23-14_38_52__s0108__f000445__t026973ms.jpg,rosbag2_2026_07_23-14_38_52,445,26.973,1784785159505335264,210,311
rosbag2_2026_07_23-14_38_52__s0109__f000449__t027237ms.jpg,rosbag2_2026_07_23-14_38_52,449,27.237,1784785159769361850,210,311
rosbag2_2026_07_23-14_38_52__s0110__f000453__t027503ms.jpg,rosbag2_2026_07_23-14_38_52,453,27.503,1784785160035955101,210,311
rosbag2_2026_07_23-14_38_52__s0111__f000457__t027773ms.jpg,rosbag2_2026_07_23-14_38_52,457,27.773,1784785160305438839,210,311
rosbag2_2026_07_23-14_38_52__s0112__f000460__t027973ms.jpg,rosbag2_2026_07_23-14_38_52,460,27.973,1784785160505385889,210,311
rosbag2_2026_07_23-14_38_52__s0113__f000464__t028237ms.jpg,rosbag2_2026_07_23-14_38_52,464,28.237,1784785160769397858,210,311
rosbag2_2026_07_23-14_38_52__s0114__f000468__t028505ms.jpg,rosbag2_2026_07_23-14_38_52,468,28.505,1784785161037326128,210,311
rosbag2_2026_07_23-14_38_52__s0115__f000472__t028773ms.jpg,rosbag2_2026_07_23-14_38_52,472,28.773,1784785161305400298,210,311
rosbag2_2026_07_23-14_38_52__s0116__f000475__t028973ms.jpg,rosbag2_2026_07_23-14_38_52,475,28.973,1784785161505787144,210,311
rosbag2_2026_07_23-14_38_52__s0117__f000479__t029233ms.jpg,rosbag2_2026_07_23-14_38_52,479,29.233,1784785161765442376,210,311
rosbag2_2026_07_23-14_38_52__s0118__f000483__t029505ms.jpg,rosbag2_2026_07_23-14_38_52,483,29.505,1784785162037197633,210,311
rosbag2_2026_07_23-14_38_52__s0119__f000487__t029770ms.jpg,rosbag2_2026_07_23-14_38_52,487,29.770,1784785162302663703,210,311
rosbag2_2026_07_23-14_38_52__s0120__f000491__t030005ms.jpg,rosbag2_2026_07_23-14_38_52,491,30.005,1784785162537460704,210,311
rosbag2_2026_07_23-14_38_52__s0121__f000498__t030237ms.jpg,rosbag2_2026_07_23-14_38_52,498,30.237,1784785162769531587,210,311
rosbag2_2026_07_23-14_38_52__s0122__f000503__t030472ms.jpg,rosbag2_2026_07_23-14_38_52,503,30.472,1784785163004343588,210,311
rosbag2_2026_07_23-14_38_52__s0123__f000507__t030737ms.jpg,rosbag2_2026_07_23-14_38_52,507,30.737,1784785163269550510,210,311
rosbag2_2026_07_23-14_38_52__s0124__f000511__t031005ms.jpg,rosbag2_2026_07_23-14_38_52,511,31.005,1784785163537175553,210,311
rosbag2_2026_07_23-14_38_52__s0125__f000515__t031274ms.jpg,rosbag2_2026_07_23-14_38_52,515,31.274,1784785163806435801,210,311
rosbag2_2026_07_23-14_38_52__s0126__f000518__t031473ms.jpg,rosbag2_2026_07_23-14_38_52,518,31.473,1784785164005334251,210,311
rosbag2_2026_07_23-14_38_52__s0127__f000522__t031737ms.jpg,rosbag2_2026_07_23-14_38_52,522,31.737,1784785164269674797,210,311
rosbag2_2026_07_23-14_38_52__s0128__f000526__t032003ms.jpg,rosbag2_2026_07_23-14_38_52,526,32.003,1784785164535719176,210,311
rosbag2_2026_07_23-14_38_52__s0129__f000530__t032273ms.jpg,rosbag2_2026_07_23-14_38_52,530,32.273,1784785164805425172,210,311
rosbag2_2026_07_23-14_38_52__s0130__f000533__t032470ms.jpg,rosbag2_2026_07_23-14_38_52,533,32.470,1784785165002751193,210,311
rosbag2_2026_07_23-14_38_52__s0131__f000537__t032737ms.jpg,rosbag2_2026_07_23-14_38_52,537,32.737,1784785165269483004,210,311
rosbag2_2026_07_23-14_38_52__s0132__f000541__t033005ms.jpg,rosbag2_2026_07_23-14_38_52,541,33.005,1784785165537861494,210,311
rosbag2_2026_07_23-14_38_52__s0133__f000547__t033241ms.jpg,rosbag2_2026_07_23-14_38_52,547,33.241,1784785165773005847,210,311
rosbag2_2026_07_23-14_38_52__s0134__f000554__t033503ms.jpg,rosbag2_2026_07_23-14_38_52,554,33.503,1784785166035378430,210,311
rosbag2_2026_07_23-14_38_52__s0135__f000559__t033705ms.jpg,rosbag2_2026_07_23-14_38_52,559,33.705,1784785166237310071,210,311
rosbag2_2026_07_23-14_38_52__s0136__f000563__t034005ms.jpg,rosbag2_2026_07_23-14_38_52,563,34.005,1784785166537294381,210,311
rosbag2_2026_07_23-14_38_52__s0137__f000567__t034274ms.jpg,rosbag2_2026_07_23-14_38_52,567,34.274,1784785166806041791,210,311
rosbag2_2026_07_23-14_38_52__s0138__f000570__t034473ms.jpg,rosbag2_2026_07_23-14_38_52,570,34.473,1784785167005376137,210,311
rosbag2_2026_07_23-14_38_52__s0139__f000574__t034738ms.jpg,rosbag2_2026_07_23-14_38_52,574,34.738,1784785167270092578,210,311
rosbag2_2026_07_23-14_38_52__s0140__f000578__t035005ms.jpg,rosbag2_2026_07_23-14_38_52,578,35.005,1784785167537395123,210,311
rosbag2_2026_07_23-14_38_52__s0141__f000582__t035273ms.jpg,rosbag2_2026_07_23-14_38_52,582,35.273,1784785167805712250,210,311
rosbag2_2026_07_23-14_38_52__s0142__f000585__t035473ms.jpg,rosbag2_2026_07_23-14_38_52,585,35.473,1784785168005363980,210,311
rosbag2_2026_07_23-14_38_52__s0143__f000589__t035733ms.jpg,rosbag2_2026_07_23-14_38_52,589,35.733,1784785168265905675,210,311
rosbag2_2026_07_23-14_38_52__s0144__f000593__t036005ms.jpg,rosbag2_2026_07_23-14_38_52,593,36.005,1784785168537709992,210,311
rosbag2_2026_07_23-14_38_52__s0145__f000597__t036270ms.jpg,rosbag2_2026_07_23-14_38_52,597,36.270,1784785168802940299,210,311
rosbag2_2026_07_23-14_38_52__s0146__f000601__t036505ms.jpg,rosbag2_2026_07_23-14_38_52,601,36.505,1784785169037369278,210,311
rosbag2_2026_07_23-14_38_52__s0147__f000607__t036737ms.jpg,rosbag2_2026_07_23-14_38_52,607,36.737,1784785169269556787,210,311
rosbag2_2026_07_23-14_38_52__s0148__f000612__t036973ms.jpg,rosbag2_2026_07_23-14_38_52,612,36.973,1784785169505055680,210,311
rosbag2_2026_07_23-14_38_52__s0149__f000616__t037241ms.jpg,rosbag2_2026_07_23-14_38_52,616,37.241,1784785169773555715,210,311
rosbag2_2026_07_23-14_38_52__s0150__f000620__t037505ms.jpg,rosbag2_2026_07_23-14_38_52,620,37.505,1784785170037454483,210,311
rosbag2_2026_07_23-14_38_52__s0151__f000624__t037773ms.jpg,rosbag2_2026_07_23-14_38_52,624,37.773,1784785170305543923,210,311
rosbag2_2026_07_23-14_38_52__s0152__f000627__t037973ms.jpg,rosbag2_2026_07_23-14_38_52,627,37.973,1784785170505879326,210,311
rosbag2_2026_07_23-14_38_52__s0153__f000631__t038240ms.jpg,rosbag2_2026_07_23-14_38_52,631,38.240,1784785170772341806,210,311
rosbag2_2026_07_23-14_38_52__s0154__f000635__t038506ms.jpg,rosbag2_2026_07_23-14_38_52,635,38.506,1784785171038034295,210,311
rosbag2_2026_07_23-14_38_52__s0155__f000639__t038773ms.jpg,rosbag2_2026_07_23-14_38_52,639,38.773,1784785171305481801,210,311
rosbag2_2026_07_23-14_38_52__s0156__f000642__t038971ms.jpg,rosbag2_2026_07_23-14_38_52,642,38.971,1784785171503858162,210,311
rosbag2_2026_07_23-14_38_52__s0157__f000646__t039237ms.jpg,rosbag2_2026_07_23-14_38_52,646,39.237,1784785171769307471,210,311
rosbag2_2026_07_23-14_38_52__s0158__f000650__t039505ms.jpg,rosbag2_2026_07_23-14_38_52,650,39.505,1784785172037337318,210,311
rosbag2_2026_07_23-14_38_52__s0159__f000654__t039773ms.jpg,rosbag2_2026_07_23-14_38_52,654,39.773,1784785172305706494,210,311
rosbag2_2026_07_23-14_38_52__s0160__f000661__t040005ms.jpg,rosbag2_2026_07_23-14_38_52,661,40.005,1784785172537271748,210,311
rosbag2_2026_07_23-14_38_52__s0161__f000667__t040237ms.jpg,rosbag2_2026_07_23-14_38_52,667,40.237,1784785172769669328,210,311
rosbag2_2026_07_23-14_38_52__s0162__f000671__t040468ms.jpg,rosbag2_2026_07_23-14_38_52,671,40.468,1784785173000856145,210,311
rosbag2_2026_07_23-14_38_52__s0163__f000675__t040737ms.jpg,rosbag2_2026_07_23-14_38_52,675,40.737,1784785173269623696,210,311
rosbag2_2026_07_23-14_38_52__s0164__f000679__t041005ms.jpg,rosbag2_2026_07_23-14_38_52,679,41.005,1784785173537621966,210,311
rosbag2_2026_07_23-14_38_52__s0165__f000683__t041272ms.jpg,rosbag2_2026_07_23-14_38_52,683,41.272,1784785173804779340,210,311
rosbag2_2026_07_23-14_38_52__s0166__f000686__t041474ms.jpg,rosbag2_2026_07_23-14_38_52,686,41.474,1784785174006447314,210,311
rosbag2_2026_07_23-14_38_52__s0167__f000690__t041737ms.jpg,rosbag2_2026_07_23-14_38_52,690,41.737,1784785174269206269,210,311
rosbag2_2026_07_23-14_38_52__s0168__f000694__t042000ms.jpg,rosbag2_2026_07_23-14_38_52,694,42.000,1784785174532672994,210,311
rosbag2_2026_07_23-14_38_52__s0169__f000698__t042271ms.jpg,rosbag2_2026_07_23-14_38_52,698,42.271,1784785174803238824,210,311
rosbag2_2026_07_23-14_38_52__s0170__f000701__t042469ms.jpg,rosbag2_2026_07_23-14_38_52,701,42.469,1784785175001113087,210,311
rosbag2_2026_07_23-14_38_52__s0171__f000705__t042737ms.jpg,rosbag2_2026_07_23-14_38_52,705,42.737,1784785175268973551,210,311
rosbag2_2026_07_23-14_38_52__s0172__f000709__t043004ms.jpg,rosbag2_2026_07_23-14_38_52,709,43.004,1784785175536895570,210,311
rosbag2_2026_07_23-14_38_52__s0173__f000713__t043237ms.jpg,rosbag2_2026_07_23-14_38_52,713,43.237,1784785175768971812,210,311
rosbag2_2026_07_23-14_38_52__s0174__f000720__t043468ms.jpg,rosbag2_2026_07_23-14_38_52,720,43.468,1784785176000551915,210,311
rosbag2_2026_07_23-14_38_52__s0175__f000725__t043704ms.jpg,rosbag2_2026_07_23-14_38_52,725,43.704,1784785176236476598,210,311
rosbag2_2026_07_23-14_38_52__s0176__f000728__t043969ms.jpg,rosbag2_2026_07_23-14_38_52,728,43.969,1784785176501368638,210,311
rosbag2_2026_07_23-14_38_52__s0177__f000732__t044236ms.jpg,rosbag2_2026_07_23-14_38_52,732,44.236,1784785176768802771,210,311
rosbag2_2026_07_23-14_38_52__s0178__f000736__t044501ms.jpg,rosbag2_2026_07_23-14_38_52,736,44.501,1784785177033093883,210,311
rosbag2_2026_07_23-14_38_52__s0179__f000740__t044768ms.jpg,rosbag2_2026_07_23-14_38_52,740,44.768,1784785177300901464,210,311
rosbag2_2026_07_23-14_38_52__s0180__f000743__t044973ms.jpg,rosbag2_2026_07_23-14_38_52,743,44.973,1784785177504983420,210,311
rosbag2_2026_07_23-14_38_52__s0181__f000747__t045237ms.jpg,rosbag2_2026_07_23-14_38_52,747,45.237,1784785177769206918,210,311
rosbag2_2026_07_23-14_38_52__s0182__f000751__t045506ms.jpg,rosbag2_2026_07_23-14_38_52,751,45.506,1784785178038425139,210,311
rosbag2_2026_07_23-14_38_52__s0183__f000755__t045773ms.jpg,rosbag2_2026_07_23-14_38_52,755,45.773,1784785178305040252,210,311
rosbag2_2026_07_23-14_38_52__s0184__f000758__t045969ms.jpg,rosbag2_2026_07_23-14_38_52,758,45.969,1784785178500971994,210,311
rosbag2_2026_07_23-14_38_52__s0185__f000762__t046237ms.jpg,rosbag2_2026_07_23-14_38_52,762,46.237,1784785178769406110,210,311
rosbag2_2026_07_23-14_38_52__s0186__f000766__t046505ms.jpg,rosbag2_2026_07_23-14_38_52,766,46.505,1784785179036991626,210,311
rosbag2_2026_07_23-14_38_52__s0187__f000773__t046735ms.jpg,rosbag2_2026_07_23-14_38_52,773,46.735,1784785179267872427,210,311
